id,severity,cvss_score,cvss_vector,finding_type,title,description,impact,mitigation,replication_steps,host_detection_techniques,network_detection_techniques,references,finding_guidance,tags,extra_fields
790,High,,,Disaster Recovery,Implement 3-2-1 Rule,"<p><span style=""font-weight: 400;"">Best practice for backups is to follow a 3-2-1 philosophy (3 copies of the data, 2 media destinations, and 1 copy off-site.) </span></p>
<ul>
<li><span style=""font-weight: 400;"">3 Copies of data</span>
<ul>
<li><span style=""font-weight: 400;"">Live copy</span></li>
<li><span style=""font-weight: 400;"">Backup to storage</span></li>
<li><span style=""font-weight: 400;"">Storage replication to secondary storage node</span></li>
</ul>
</li>
<li><span style=""font-weight: 400;"">2 Media destinations</span>
<ul>
<li><span style=""font-weight: 400;"">Shared storage (SAN/NAS)</span></li>
<li><span style=""font-weight: 400;"">Tape, etc.</span></li>
</ul>
</li>
<li><span style=""font-weight: 400;"">1 Copy off-site</span>
<ul>
<li><span style=""font-weight: 400;"">via storage replication or manual transport</span></li>
</ul>
</li>
</ul>",,<p>Deploy an enterprise grade backup solution with redundancies that protect against numerous levels of failure.  Ensure the strategy encompasses a comprehensive approrach that meets {{ client.name }}'s requirements for disaster recovery and business continuity.</p>,,,,<p>https://www.veeam.com/blog/321-backup-rule.html</p>,,,"{""levelofeffort"": ""High"", ""remediation_impact"": ""Low""}"
542,High,,,Hybrid,AAD privileged users that are also privileged in AD,"Accounts that have been granted privileged roles in both Azure Active Directory (AAD) and on-premises Active Directory (AD) pose a significant security risk. If such an account is compromised, it could lead to a cross-environment breach, allowing an attacker to escalate privileges and access sensitive resources across both cloud and on-premises infrastructures. This dual-privileged access increases the attack surface and could facilitate lateral movement and data exfiltration by malicious actors.",,"<p>To mitigate this risk, organizations should implement the following measures:</p><ul><li><strong>Role Separation:</strong> Ensure that users with administrative privileges in Azure AD do not hold equivalent privileges in on-premises AD. This can be achieved by assigning different individuals to these roles.</li><li><strong>Role Scoping:</strong> Enforce strict role scoping policies to limit the permissions of privileged accounts to only what is necessary for their duties.</li><li><strong>Monitoring and Alerts:</strong> Implement monitoring solutions to detect and alert on any unauthorized privilege escalations or suspicious activities involving privileged accounts.</li><li><strong>Regular Audits:</strong> Conduct regular audits of privileged accounts to ensure compliance with security policies and to detect any anomalies or unauthorized changes.</li></ul>",,,,,,"Purple Knight,Hybrid","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
799,High,,,Network,Network Configuration Backups,"<p><span style=""font-weight: 400;"">Network configuration backups provide redundancy in the case of an unrecoverable hardware failure.  Automation of this process ensures that the network has up-to-date configurations even in a recovery scenario.</span></p>",,"<p>Review your vendor documentation for best-practices on configuring automated network configuration backups.  If none exist, evaluate third-party solutions to meet this need.</p>",,,,,,,"{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Low""}"
616,High,,,Okta,High privileged custom roles,"Custom roles with excessive permissions pose a significant security risk by enabling users to reset passwords and manage MFA settings for other users. This capability leads to potential privilege escalation, where individuals might gain unauthorized access to sensitive accounts or data. Ensuring that custom roles are appropriately defined and restricted is crucial to maintaining system integrity and preventing unauthorized actions.",,"<ul><li>Conduct a comprehensive audit of all existing custom roles to identify those with password reset or MFA management permissions.</li><li>Revise the role definitions to ensure that only essential permissions are granted, adhering to the principle of least privilege.</li><li>Implement a review process for any new or modified custom roles to prevent the introduction of excessive permissions in the future.</li><li>Regularly monitor role assignments and permissions to detect and address any anomalies promptly.</li></ul>",,,,,,"Purple Knight,Okta","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
797,High,,,Storage,Alerting on Storage,"<p><span style=""font-weight: 400;"">Storage solutions should be configured for alerts.  Due to the way in which VMware handles thin provisioned volumes cases do arise where native storage alerts provide better insight into storage capacity and performance.</span></p>",,<p>Research your storage provider's documentation on configuring alerting and ensure volumes and controllers are monitored approriately.</p>,,,,,,,"{""levelofeffort"": ""Low"", ""remediation_impact"": ""Low""}"
781,High,,,Virtualization,Enable Alerting on Virtual Infrastructure,"<p><span style=""font-weight: 400;"">Verify alerting is configured on host hardware status, host power status, and storage capacity.  This will aid in providing pro-active warnings on hardware component failures, single power failures and possible storage volume.</span></p>",,"<p>Enable base level of alerting for host failures, power outages, storage outages and storage failures.  </p>",,,,<p>https://techdocs.broadcom.com/us/en/vmware-cis/vsphere/vsphere/8-0/managing-host-and-cluster-lifecycle-8-0/using-vsphere-config-profiles-to-manage-host-configuration-at-a-cluster-level/check-compliance/set-up-alarms-for-monitoring-configuration-drifts.html</p>,<p>https://knowledge.broadcom.com/external/article/375439/vcenter-alarm-at-the-virtual-machine-lay.html</p>,,"{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Low""}"
550,Medium,,,365,Administrative units are not being used,"The finding indicates that the tenant is not utilizing Administrative Units to confine administrative scopes. This practice can significantly enhance the enforcement of the principle of least privilege by allowing granular control over access permissions. Without these controls, there's a risk of over-provisioning privileges, which can lead to potential misuse of access rights and increase the attack surface.",,<ul><li>Define distinct role scopes using Administrative Units to ensure that access is limited to the necessary resources.</li><li>Implement a regular review process for unit membership to ensure that only authorized users have the required access.</li><li>Consider automating the review process to maintain up-to-date access controls and reduce the likelihood of human error.</li></ul>,,,,,,"Purple Knight,365","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Low""}"
554,Medium,,,365,Application expired secrets and certificates,"The presence of expired secrets and certificates in an application poses a significant security risk as they can lead to authentication failures, potentially exposing the application to unauthorized access. This issue often highlights weaknesses in the management of the key lifecycle, which is crucial for maintaining the integrity and confidentiality of secure communications. If not addressed, it can result in service disruptions, data breaches, and a loss of trust from users and stakeholders.",,"<p>To address this issue, it is essential to implement a robust certificate lifecycle management strategy. This should include:</p><ul><li>Regular audits of active certificates and secrets to identify any that are nearing expiration.</li><li>Automated alerting mechanisms to notify administrators of upcoming expirations.</li><li>Processes for the timely renewal and replacement of certificates and secrets to prevent lapses in security.</li><li>Integration of certificate management tools that provide visibility and control over the certificate lifecycle.</li></ul><p>By adopting these measures, organizations can ensure continuous security and minimize the risk of unauthorized access due to expired credentials.</p>",,,,,,"Purple Knight,365","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
555,Medium,,,365,Application Name and Geographic Location additional contexts are disabled on MFA,"The current Multi-Factor Authentication (MFA) setup lacks the enforcement of application name and geographic location contexts, which are crucial for enhancing security. Without these additional checks, the ability to detect and respond to sign-in anomalies is significantly reduced. This can lead to unauthorized access attempts going unnoticed, as there is insufficient context to differentiate between legitimate and potentially malicious access attempts. Implementing these contexts would provide greater visibility and control over authentication processes, thus improving the overall security posture.",,<ul><li>Review and assess the current MFA policy configurations.</li><li>Enable contextual access policies that incorporate both application name and geographic location verification as part of the MFA process.</li><li>Use the platform’s administrative tools to configure these settings appropriately.</li><li>Test the new MFA settings in a controlled environment before deploying them across the organization.</li><li>Monitor for any sign-in anomalies post-implementation to ensure the new settings are effective.</li></ul>,,,,,,"Purple Knight,365","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Low""}"
31,Medium,,,365,Block Entra ID/Azure AD Portal for Unprivileged Users,"<p>Allowing unprivileged users to access the Azure Portal increases the risk of reconnaissance, misconfiguration, and accidental exposure of sensitive information. While these users may not have high-level permissions, the Azure Portal still provides visibility into directory structures, group memberships, and resource metadata, which can be leveraged during social engineering or privilege escalation attempts.</p>

<p>In environments without strict role-based access controls and Conditional Access, even basic access to the Azure Portal can reveal details useful to an attacker who has compromised a low-privilege account. Additionally, users may unknowingly interact with settings or services outside their scope, leading to unintended configuration changes or support burdens.</p>",,<p>Disable unprivileged access to the Entra ID Portal and Admin Centers.</p>,,,,,,,"{""levelofeffort"": ""Low"", ""remediation_impact"": ""Low""}"
759,Medium,,,365,Block High Risk Sign Ins,"The finding of 'Block High Risk Sign Ins' involves preventing compromised accounts from accessing the tenant. This is essential for maintaining the security and integrity of the system because unauthorized access can lead to data breaches, financial loss, and reputational damage. High risk sign-ins typically indicate that an account has been compromised or is under threat from malicious actors, making it crucial to enforce measures that block these attempts.",,"<strong>Remediation Steps:</strong><ul><li><em>Create conditional access policies:</em> Implement specific policies within your security framework to identify and block high-risk sign-ins. This can involve setting criteria based on user behavior, location, and device compliance.</li><li><em>Regularly review and update policies:</em> Continuously monitor and adjust your conditional access policies to adapt to emerging threats and ensure optimal protection.</li><li><em>Educate users:</em> Inform users about security best practices and the importance of maintaining strong, unique passwords to reduce the risk of account compromise.</li></ul>",,,,,,"365,SCUBA","{""levelofeffort"": ""Low"", ""remediation_impact"": ""High""}"
757,Medium,,,365,Block High Risk Users,"Blocking high-risk users from accessing the system is crucial in preventing compromised accounts from causing potential harm to the tenant's environment. High-risk users are often flagged due to suspicious activities or login patterns that indicate a possible security breach. By restricting access, you ensure that unauthorized individuals cannot exploit sensitive data or resources, thereby maintaining the integrity and security of your organization's digital assets.",,"<p>To mitigate this risk, administrators should configure a <strong>Microsoft Entra ID Conditional Access policy</strong> to automatically block users identified as high risk by <strong>Microsoft Entra ID Identity Protection</strong>. This policy will ensure that any high-risk user is prevented from accessing the system until their account has been reviewed and remediated by a qualified administrator. Implementing this measure can significantly enhance your organization's security posture.</p>",,,,https://learn.microsoft.com/en-us/entra/id-protection/concept-identity-protection-risks,,"365,SCUBA","{""levelofeffort"": ""Low"", ""remediation_impact"": ""High""}"
1,Medium,,,365,Block Sign-In for Shared Mailboxes,"<p>Shared mailboxes in Microsoft 365 are designed for multiple users to access a common mailbox without needing a separate licensed user account. Shared mailboxes have passwords, but they are system generated and never provided upon creation. Although these mailboxes can be logged into directly, <span class=""bold"">they are never meant to be accessed directly</span>. Shared mailboxes should <span class=""bold"">always have their sign-in blocked</span>.</p>",<p>Low</p>,<p>Block Sign-In for all shared mailboxes. This can be accomplished through the Admin Center or via PowerShell.</p>,,,,<p>https://learn.microsoft.com/en-us/microsoft-365/admin/email/about-shared-mailboxes?view=o365-worldwide</p>,,,"{""levelofeffort"": ""Low"", ""remediation_impact"": ""Low""}"
561,Medium,,,365,Certificate-Based Authentication Persistence,"In Entra ID, misconfigured app roles and permissions can permit unauthorized certificate-based authentication to persist over time. This is a security risk as it can be exploited by malicious actors to maintain access to the system using compromised or rogue certificates, potentially leading to unauthorized data access or system manipulation.",,<ul><li>Conduct regular audits of application roles and permissions to ensure they are configured correctly and align with the principle of least privilege.</li><li>Identify and remove any unnecessary or excessive permissions related to certificate-based authentication.</li><li>Implement monitoring mechanisms to detect unusual certificate usage patterns.</li></ul>,,,,,,"Purple Knight,365","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Low""}"
569,Medium,,,365,Check for guests having permission to invite other guests,"Guest users possessing the ability to invite other guests present a significant security risk. This capability can lead to unauthorized external collaboration, potentially exposing sensitive information or resources to untrusted individuals. If not properly restricted, it could result in a breach of confidentiality and integrity of the organization's systems.",,"<p>To mitigate this issue, it is crucial to configure guest invitation settings appropriately. <strong>Steps:</strong></p><ul><li>Access the organization's administrative portal.</li><li>Navigate to the user management or guest invitation settings section.</li><li>Restrict the ability to invite guests solely to administrators or specifically approved users.</li><li>Ensure that these settings are reviewed and updated periodically to maintain security.</li></ul>",,,,,,"Purple Knight,365","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
570,Medium,,,365,Check for risky API permissions granted to application service principals,"Certain applications are assigned API permissions that have the potential to provide administrative access. This poses a significant security risk as malicious application owners could exploit these permissions to gain unauthorized access to sensitive resources or perform unauthorized actions within the system. The ability to grant admin access is particularly concerning because it could lead to data breaches, unauthorized data manipulation, or control over critical system functions.",,"<p>To mitigate this risk, it is essential to implement a regular audit process:</p><ul><li>Conduct periodic reviews of the API permissions granted to all application service principals.</li><li>Identify and assess the necessity of high-risk permissions, especially those capable of granting admin access.</li><li>Revoke any unnecessary or high-risk permissions that are not actively utilized or justified.</li><li>Establish a policy for granting API permissions with a focus on least privilege.</li><li>Ensure that any changes to permissions undergo a review and approval process.</li></ul>",,,,,,"Purple Knight,365","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
571,Medium,,,365,Check for users with weak or no MFA,"The finding indicates that there are users within the organization who either have weak Multi-Factor Authentication (MFA) methods or lack MFA altogether. This poses a significant security risk because weaker MFA methods, such as SMS and voice, can be more easily compromised through tactics like vishing or interception. These vulnerabilities increase the likelihood of unauthorized access to sensitive systems and data, potentially leading to data breaches and other security incidents. Ensuring robust MFA is crucial for protecting user accounts and maintaining the integrity of the organization's security posture.",,"<p>To address this security risk, it is recommended to enforce the use of stronger MFA methods across all user accounts. Consider implementing the following steps:</p><ul><li>Mandate the use of app-based authentication methods, such as Google Authenticator or Microsoft Authenticator, which provide a more secure alternative to SMS or voice-based methods.</li><li>Encourage the use of hardware security keys, such as FIDO2 keys, which offer enhanced protection against phishing and man-in-the-middle attacks.</li><li>Regularly audit and monitor MFA configurations to ensure compliance and detect any deviations from established security policies.</li><li>Provide user training and support to facilitate the transition to more secure MFA methods, ensuring a smooth implementation process.</li></ul>",,,,,,"Purple Knight,365","{""levelofeffort"": ""Low"", ""remediation_impact"": ""Medium""}"
572,Medium,,,365,Check if legacy authentication is allowed,"Legacy authentication protocols, such as older versions of IMAP, SMTP, and POP3, are still permitted in the environment. These protocols do not support modern authentication methods, making them susceptible to various security risks. Allowing legacy authentication increases the attack surface, enabling credential reuse and downgrade attacks. Attackers can exploit these vulnerabilities to gain unauthorized access to sensitive data and systems, bypassing more secure authentication methods.",,"<ul><li><strong>Review and Identify:</strong> Conduct a thorough review of all active authentication protocols in use.</li><li><strong>Enable Modern Authentication:</strong> Where possible, switch to protocols that support modern authentication methods.</li><li><strong>Implement Conditional Access Policies:</strong> Use Conditional Access policies to block legacy authentication methods.</li><li><strong>Utilize Security Defaults:</strong> If Conditional Access is not available, enable security defaults to automatically block legacy authentication protocols.</li><li><strong>Monitor and Educate:</strong> Continuously monitor authentication logs for unauthorized access attempts and educate users on the importance of using secure authentication methods.</li></ul>",,,,,,"Purple Knight,365","{""levelofeffort"": ""Low"", ""remediation_impact"": ""Medium""}"
578,Medium,,,365,Conditional Access policies contain private IP addresses,"The current Conditional Access policies incorporate private IP addresses within named locations. This practice poses a security risk as private IP addresses can lead to unreliable access controls and create false zones of trust. By relying on private IPs, organizations may inadvertently allow unauthorized access or misconfigure their security boundaries, potentially exposing sensitive resources to untrusted networks.",,"<p>To address this issue, it is recommended to:</p><ul><li>Replace private IP addresses with public IP ranges in your Conditional Access policies.</li><li>Define named locations based on geographic boundaries or other reliable criteria rather than private IP addresses.</li><li>Regularly review and update your IP address configurations to ensure they align with your security policies and organizational needs.</li></ul><p>These steps will help maintain robust security controls and reduce the risk of unauthorized access.</p>",,,,,,"Purple Knight,365","{""levelofeffort"": ""Low"", ""remediation_impact"": ""Low""}"
579,Medium,,,365,Conditional Access Policy that disables admin token persistence,"The presence of a Conditional Access Policy that disables admin token persistence is crucial for maintaining security within an organization. Without this policy, admin accounts with token persistence and extended session lifetimes are at an increased risk of token theft. This vulnerability can lead to unauthorized access through the exploitation of stolen tokens or abuse of Primary Refresh Tokens (PRT), potentially compromising sensitive data and systems.",,<ul><li>Implement session control policies that effectively manage token lifetimes.</li><li>Ensure that admin accounts are configured to require regular reauthentication.</li><li>Regularly review access policies to align with the latest security best practices.</li></ul>,,,,,,"Purple Knight,365","{""levelofeffort"": ""Low"", ""remediation_impact"": ""Low""}"
580,Medium,,,365,Conditional Access Policy that does not require a password change from high risk users,"The current Conditional Access Policy does not mandate a password change for users identified as high risk, which poses a significant security threat. Allowing high-risk users to continue accessing the system with potentially compromised credentials increases the likelihood of unauthorized access, data breaches, and exploitation of sensitive information.",,"<p>To address this vulnerability, it is essential to implement robust Conditional Access policies. <strong>Steps include:</strong></p><ul><li>Configure the policy to automatically require a password reset for any user flagged as high risk.</li><li>Ensure that the policy is consistently enforced across all user accounts.</li><li>Regularly review and update risk assessment criteria to adapt to emerging threats.</li></ul><p>By taking these actions, you can significantly reduce the risk of unauthorized access and protect your organization’s data.</p>",,,,,,"Purple Knight,365","{""levelofeffort"": ""Low"", ""remediation_impact"": ""Low""}"
581,Medium,,,365,Conditional Access Policy that does not require MFA when sign-in risk has been identified,"The identified finding is the lack of a Conditional Access Policy that mandates the use of Multi-Factor Authentication (MFA) when a medium or high sign-in risk is detected. This omission poses a significant security risk as it allows potentially unauthorized users to access sensitive resources without additional verification, thereby compromising the security of the authentication process. By not enforcing MFA under these conditions, there is an increased likelihood of unauthorized access and data breaches, which can result in data loss, reputational damage, and potentially severe compliance violations.",,"<p>To enhance security, it is recommended to implement a Conditional Access Policy that enforces Multi-Factor Authentication for all sign-ins identified as medium or high risk by Azure AD Identity Protection. This can be achieved by following these steps:</p><ol><li>Navigate to the Azure Active Directory portal and select 'Security'.</li><li>Under 'Conditional Access', create a new policy or modify an existing one.</li><li>Configure the policy to apply to all users or specific groups that require increased protection.</li><li>Set the condition to detect medium or high sign-in risks.</li><li>Under 'Access controls', select 'Grant' and require Multi-Factor Authentication.</li><li>Review and enable the policy to ensure it is active.</li></ol>",,,,,,"Purple Knight,365","{""levelofeffort"": ""Low"", ""remediation_impact"": ""Low""}"
582,Medium,,,365,Conditional Access policy with Continuous Access Evaluation disabled,"The absence of Continuous Access Evaluation in several Conditional Access policies may result in prolonged validity of access tokens. This increases the risk of unauthorized access if a user's credentials are compromised, as tokens remain active longer than necessary. Continuous Access Evaluation allows for real-time policy enforcement, which is crucial for promptly mitigating potential security breaches.",,"<p>To address this security concern, follow these professional steps:</p><ul><li>Access your Azure AD portal and navigate to the Conditional Access policies section.</li><li>Review each policy to ensure Continuous Access Evaluation is active.</li><li>If disabled, enable Continuous Access Evaluation by selecting the appropriate option in the policy settings.</li><li>Test the updated policies to verify they enforce real-time access decisions effectively.</li><li>Document the changes made for auditing purposes and monitor policy performance regularly.</li></ul>",,,,,,"Purple Knight,365","{""levelofeffort"": ""Low"", ""remediation_impact"": ""Low""}"
761,Medium,,,365,Disable Automatic Forwarding to External Domains,"<p>Automatic email forwarding to external domains can be exploited by adversaries to maintain persistent access to sensitive information within a victim's email account. This technique is often used by attackers to exfiltrate data without the user's knowledge, as emails are silently forwarded to an external address controlled by the adversary. Disabling this feature is a preventative measure that helps protect against unauthorized data transfer when the threat originates from outside the organization, while still allowing legitimate email forwarding within the internal network.</p>",,"<p dir=""auto"">To disallow automatic forwarding to external domains:</p>

<ol dir=""auto"">

<li>

<p dir=""auto"">Sign in to the <strong>Exchange admin center</strong>.</p>

</li>

<li>

<p dir=""auto"">Select <strong>Mail flow</strong>, then <strong>Remote domains</strong>.</p>

</li>

<li>

<p dir=""auto"">Select <strong>Default</strong>.</p>

</li>

<li>

<p dir=""auto"">Under <strong>Email reply types</strong>, select <strong>Edit reply types</strong>.</p>

</li>

<li>

<p dir=""auto"">Clear the checkbox next to <strong>Allow automatic forwarding</strong>, then click <strong>Save</strong>.</p>

</li>

<li>

<p dir=""auto"">Return to <strong>Remote domains</strong> and repeat steps 4 and 5 for each additional remote domain in the list.</p>

</li>

</ol>",,,,,,"365,SCUBA","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Low""}"
768,Medium,,,365,Disabled Communication with Unmanaged Teams Tenants,"The finding highlights a significant security risk associated with allowing contact from unmanaged users within Teams tenants. This vulnerability can lead to unauthorized entities harvesting email addresses and contact information of users within the organization. Such exposure poses a threat to user privacy and can be exploited for phishing attacks or other malicious activities. By disabling communication with unmanaged Teams tenants, organizations can significantly reduce the risk of data breaches and ensure a more secure communication environment.",,"<p>To mitigate this risk, follow these steps to disable communication with unmanaged Teams tenants:</p><ol><li>Navigate to the Teams Admin Center.</li><li>Access the External Access settings.</li><li>Disable the option to allow communication with unmanaged tenants.</li><li>Ensure that the changes are saved and propagated throughout the organization.</li><li>Communicate the change to relevant stakeholders to ensure they are aware of the new security posture.</li></ol>",,,,,,"365,SCUBA,Teams","{""levelofeffort"": ""Low"", ""remediation_impact"": ""Low""}"
34,Medium,,,365,Enable Microsoft Authenticator Location Information and Application Name.,"<p>When users receive Microsoft Authenticator approval requests without additional context, such as the request’s origin location or application name, they may unknowingly approve malicious login attempts. This lack of visibility makes it easier for attackers to succeed in MFA fatigue attacks, where repeated approval requests are sent in the hope that a user will eventually accept one out of annoyance or confusion.</p>

<p>Without location and application context, users cannot verify whether an authentication prompt is legitimate, weakening the effectiveness of (MFA) and increasing the risk of unauthorized access—even when MFA is technically enabled.</p>",,"<p data-nodeid=""95"">Enable the display of <strong data-nodeid=""133"">location information</strong> and <strong data-nodeid=""134"">application name</strong> in Microsoft Authenticator notifications through Azure AD's <strong data-nodeid=""135"">authentication methods policy</strong>. This provides users with real-time visibility into <strong data-nodeid=""136"">where</strong> the sign-in request is coming from and <strong data-nodeid=""137"">which application</strong> is initiating the request.<br />To configure this:</p>

<ol data-nodeid=""96"">

<li data-nodeid=""97"">

<p data-nodeid=""98"">Go to <strong data-nodeid=""148"">Azure AD &gt; Security &gt; Authentication Methods &gt; Microsoft Authenticator</strong> &gt; <strong data-nodeid=""149"">Configure</strong></p>

</li>

<li data-nodeid=""99"">

<p data-nodeid=""100"">Enable the settings:</p>

<ul data-nodeid=""101"">

<li data-nodeid=""102"">

<p data-nodeid=""103""><strong data-nodeid=""154"">Show application name in push and passwordless notifications</strong></p>

</li>

<li data-nodeid=""104"">

<p data-nodeid=""105""><strong data-nodeid=""158"">Show geographic location in push and passwordless notifications</strong></p>

</li>

</ul>

</li>

</ol>",,,,,,,"{""levelofeffort"": ""Low"", ""remediation_impact"": ""Low""}"
597,Medium,,,365,Ensure all non-privileged users can complete MFA,"The issue identified is that some non-privileged users are unable to complete the Multi-Factor Authentication (MFA) process. This occurs due to incorrect configurations or the use of unsupported authentication methods. Such vulnerabilities increase the risk of accounts being compromised through phishing attacks or unauthorized access, as the additional layer of security provided by MFA is not effectively utilized. Ensuring that all users can successfully complete MFA is crucial for maintaining the integrity and security of user accounts.",,"<p>To address this finding, it is essential to ensure that all users are enrolled in at least one fully functional MFA method. <ul><li>Review the existing MFA configurations and identify any unsupported methods being used.</li><li>Provide affected users with detailed guidance on configuring their MFA settings correctly.</li><li>Offer support and resources to assist users in setting up their MFA methods, ensuring compatibility and ease of use.</li><li>Regularly audit and update the MFA configurations to align with the latest security practices and technologies.</li></ul> Implementing these steps will help reduce the risk of unauthorized access and enhance the overall security posture.</p>",,,,,,"Purple Knight,365","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Low""}"
599,Medium,,,365,Entra tenant is susceptible to Hidden Consent Grant attack,"The Entra tenant configuration is vulnerable to Hidden Consent Grant attacks, a security risk that arises when malicious applications exploit previously consented permissions to gain unauthorized access to resources without the user's knowledge. This attack vector enables attackers to escalate privileges and perform actions that can compromise sensitive information, breach data integrity, and affect the overall security posture of the organization.",,"<p>To mitigate this risk, perform a thorough audit of all application permissions within your Entra tenant. Ensure that consent is restricted strictly to trusted applications and that they operate under the principle of least privilege. Regularly review and update permissions to align with current security policies. Additionally, implement monitoring mechanisms to detect and respond to any unauthorized consent grants promptly.</p>",,,,,,"Purple Knight,365","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
605,Medium,,,365,Global Administrators that signed in during the last 14 days,"Global Administrator accounts have been accessed within the last 14 days. These accounts possess elevated permissions across the entire system, making them attractive targets for malicious actors. Unauthorized access to these accounts can lead to significant security breaches, including the alteration of critical configurations, data exfiltration, and system-wide disruptions. Continuous monitoring and strict control over these accounts are essential to prevent potential exploitation.",,<p>1. <b>Monitor Global Admin Activity:</b> Implement continuous logging and real-time alerts for actions taken by Global Administrators. Review logs regularly to detect any suspicious activities.<br>2. <b>Limit Global Admin Privileges:</b> Reduce the number of accounts with Global Admin privileges to the minimum necessary. Apply the principle of least privilege to ensure that users have only the access they need for their roles.<br>3. <b>Implement Multi-Factor Authentication (MFA):</b> Require MFA for all Global Administrator accounts to add an additional layer of security.<br>4. <b>Conduct Regular Security Training:</b> Educate users with Global Admin access about security best practices and the importance of protecting their credentials.</p>,,,,,,"Purple Knight,365","{""levelofeffort"": ""Low"", ""remediation_impact"": ""Low""}"
613,Medium,,,365,Guest accounts that were inactive for more than 30 days,"The presence of guest accounts that have been inactive for more than 30 days poses a significant security risk. Such accounts can be easily overlooked and potentially exploited by malicious actors who may attempt to reuse them for unauthorized access. Inactive accounts often have weaker monitoring and are less likely to be noticed by administrators, making them prime targets for exploitation. Ensuring that guest accounts are regularly reviewed and managed is crucial to maintaining a secure environment.",,"<p>To mitigate this risk, it is recommended to <strong>disable</strong> or <strong>delete</strong> guest accounts that have not been used for a period exceeding 30 days. This action will help reduce the attack surface and prevent unauthorized access. Administrators should implement a regular review process to identify and manage such accounts effectively.</p>",,,,,,"Purple Knight,365","{""levelofeffort"": ""Low"", ""remediation_impact"": ""Low""}"
614,Medium,,,365,Guest invites not accepted in last 30 days,Pending guest invitations left unaccepted for over 30 days pose a security risk by potentially leaving unused accounts open to exploitation. These accounts may be leveraged for unauthorized access if compromised. Organizations should be vigilant in managing guest invitations to ensure only current and necessary access permissions are active.,,"<p>To address this issue, follow these steps:</p><ul><li>Identify and remove any guest invitations that have remained unaccepted for over 30 days. This can help close potential avenues for unauthorized access.</li><li>Implement and enforce strict expiration policies for guest invitations to automatically purge unaccepted invitations after a predetermined period. This helps maintain a clean and secure account management system.</li></ul>",,,,,,"Purple Knight,365","{""levelofeffort"": ""Low"", ""remediation_impact"": ""Low""}"
621,Medium,,,365,Less than 2 Global Administrators exist,"The presence of fewer than two Global Administrators in the tenant poses a significant security risk by creating a single point of failure for privileged access management. In the event of a loss of access, accidental removal, or any other issue affecting the sole administrator, there would be no backup to manage critical administrative functions. This scenario could lead to administrative lockout, delaying crucial operations and potentially compromising security measures that depend on timely administrative intervention.",,"<p>To address this issue, it is important to <strong>assign at least two Global Administrators</strong> to your tenant. This will ensure redundancy in administrative access and reduce the risk of a single point of failure. Follow these steps:</p><ol><li>Identify and select a reliable individual within your organization who meets the criteria for a Global Administrator role.</li><li>Navigate to the admin portal and access the user management section.</li><li>Locate the user you wish to promote and assign them the Global Administrator role.</li><li>Verify that both administrators have the necessary access and are able to perform administrative tasks effectively.</li></ol><p>This proactive measure will help prevent administrative lockout and ensure continued access to critical administrative functions.</p>",,,,,,"Purple Knight,365","{""levelofeffort"": ""Low"", ""remediation_impact"": ""Medium""}"
622,Medium,,,365,List of risky users (medium or high level),"The finding highlights a group of users within the tenant identified as medium to high risk. These users are flagged due to behavioral anomalies, such as unusual login patterns or access attempts, which may suggest compromised credentials or accounts. The presence of such users within the organization poses a significant security risk, as they could potentially lead to unauthorized access, data breaches, or other malicious activities. Ensuring the integrity and security of user accounts is crucial to maintaining organizational security and protecting sensitive information.",,"<p>To address the issue of risky users, the following remediation steps should be taken:</p><ul><li>Conduct a thorough investigation into the behaviors that led to users being flagged as risky.</li><li>Implement stronger authentication measures such as multi-factor authentication (MFA) to enhance account security.</li><li>Require reauthentication for users exhibiting suspicious activities to verify their identity.</li><li>Review and, if necessary, update account permissions and access levels.</li><li>Provide security awareness training to users to help them recognize and prevent potential security threats.</li></ul><p>These actions will help mitigate the risks associated with potentially compromised accounts and enhance overall security posture.</p>",,,,,,"Purple Knight,365","{""levelofeffort"": ""Low"", ""remediation_impact"": ""High""}"
